DATASET
OBJTYPE "mesh3d"
BEGVEC
ND 8
NC 6
NAME "Velocity"
TIMEUNITS SECONDS
 3.55014172e-01 -1.71417967e-02  0.00000000e+00
 6.61985063e-02 -8.21864820e-02 -2.50615110e-01
-3.01253299e-01 -7.54179162e-02 -4.95746648e-10
-2.88456822e-01  1.93063481e-02  5.42637674e-01
 3.36381387e-02  1.20748818e-01  4.26401318e-10
 2.39916180e-01  6.29313369e-02  5.86810484e-01
 2.39916180e-01  6.29313369e-02  0.00000000e+00
TS 0  2.55100000e+00
 5.39267317e-01 -8.43733855e-02  4.97300653e-01
 5.39267317e-01 -8.43733855e-02  0.00000000e+00
 5.17877079e-02  8.67143592e-02  3.06731516e-01
-9.63953007e-02  1.55819530e-02 -1.00558406e-09
 2.03338050e-02 -4.99797701e-02  6.59796384e-01
-1.42550512e-02  2.00941655e-02  2.12368157e-09
 3.56175513e-01  3.79506909e-02  1.13393902e-01
 3.56175513e-01  3.79506909e-02  0.00000000e+00
TS 0  2.60100000e+00
 6.80220396e-01 -1.36574173e-01  4.43575454e-01
 6.80220396e-01 -1.36574173e-01  0.00000000e+00
 2.36865550e-03  2.21140125e-01  1.02156469e+00
 1.60432889e-01  1.19455636e-01 -5.55568829e-12
 3.38081885e-01 -1.22467875e-01  7.25392207e-01
-4.51218760e-02 -1.07600038e-01  1.90693730e-10
 4.29435257e-01  1.66669550e-02 -3.44257085e-01
 4.29435257e-01  1.66669550e-02  0.00000000e+00
TS 0  2.65100000e+00
 7.73393008e-01 -1.65370998e-01  3.11211863e-01
 7.73393008e-01 -1.65370998e-01  0.00000000e+00
-5.36701911e-02  3.11037788e-01  1.72107254e+00
 4.25278885e-01  2.21161270e-01 -2.48373604e-09
 6.10591609e-01 -1.96494598e-01  8.47636199e-01
-7.22168250e-02 -2.24472527e-01  1.90558742e-09
 4.64619158e-01  6.36023847e-03 -6.91881480e-01
 4.64619158e-01  6.36023847e-03  0.00000000e+00
TS 0  2.70100000e+00
 8.16938076e-01 -1.67067570e-01  1.57468760e-01
 8.16938076e-01 -1.67067570e-01  0.00000000e+00
-8.65754864e-02  3.62772715e-01  2.16748917e+00
 6.46684773e-01  3.02194063e-01 -8.38714715e-09
 7.95478681e-01 -2.65734224e-01  1.07252402e+00
-1.08589514e-01 -2.96010287e-01  5.00898689e-09
 4.67175276e-01  1.06411839e-02 -8.65365496e-01
 4.67175276e-01  1.06411839e-02  0.00000000e+00
TS 0  2.75100000e+00
 8.09963868e-01 -1.42608716e-01  2.05979820e-02
 8.09963868e-01 -1.42608716e-01  0.00000000e+00
-8.33760563e-02  3.84797282e-01  2.22094419e+00
 7.90027837e-01  3.46104207e-01 -7.43997179e-09
