Node 	 Time 	 Analytic Concentration 	 Model Computed Concentration 	 Node Error 	 GRID RMS ERROR
 1543	      21500.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000122273
 1543	      21600.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000113853
 1543	      21700.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000105802
 1543	      21800.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000098126
 1543	      21900.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000090826
 1543	      22000.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000083902
 1543	      22100.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000077351
 1543	      22200.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000071170
 1543	      22300.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000065351
 1543	      22400.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000059888
 1543	      22500.0000000000 	          0.0100000000 	         0.0100000000 	         -0.0000000000 	         0.0000054770
 1543	      22600.0000000000 	          0.0100000000 	         0.0100000000 	         -0.0000000000 	         0.0000049988
 1543	      22700.0000000000 	          0.0100000000 	         0.0100000000 	         -0.0000000000 	         0.0000045529
 1543	      22800.0000000000 	          0.0100000000 	         0.0100000000 	         -0.0000000000 	         0.0000041382
 1543	      22900.0000000000 	          0.0100000000 	         0.0100000000 	         -0.0000000000 	         0.0000037533
 1543	      23000.0000000000 	          0.0100000000 	         0.0100000000 	         -0.0000000000 	         0.0000033970
 1543	      23100.0000000000 	          0.0100000000 	         0.0100000000 	         -0.0000000000 	         0.0000030679
 1543	      23200.0000000000 	          0.0100000000 	         0.0100000000 	         -0.0000000000 	         0.0000027645
 1543	      23300.0000000000 	          0.0100000000 	         0.0100000000 	         -0.0000000000 	         0.0000024856
 1543	      23400.0000000000 	          0.0100000000 	         0.0100000000 	         -0.0000000000 	         0.0000022298
 1543	      23500.0000000000 	          0.0100000000 	         0.0100000000 	         -0.0000000000 	         0.0000019957
 1543	      23600.0000000000 	          0.0100000000 	         0.0100000000 	         -0.0000000000 	         0.0000017820
 1543	      23700.0000000000 	          0.0100000000 	         0.0100000000 	         -0.0000000000 	         0.0000015874
 1543	      23800.0000000000 	          0.0100000000 	         0.0100000000 	         -0.0000000000 	         0.0000014107
 1543	      23900.0000000000 	          0.0100000000 	         0.0100000000 	         -0.0000000000 	         0.0000012507
 1543	      24000.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000011061
 1543	      24100.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000009758
 1543	      24200.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000008587
 1543	      24300.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000007538
 1543	      24400.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000006600
 1543	      24500.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000005765
 1543	      24600.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000005022
 1543	      24700.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000004365
 1543	      24800.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000003783
 1543	      24900.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000003271
 1543	      25000.0000000000 	          0.0100000000 	         0.0100000000 	          0.0000000000 	         0.0000002821
